Year,Name,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_MWh,Peak_Rel_Diff_%
2020,Alabama,126.75,1.18,192.05,1.24
2020,Arizona,107.89,0.96,227.27,1.29
2020,Arkansas,57.05,0.97,101.65,1.29
2020,California,285.17,0.74,723.47,1.37
2020,Colorado,70.28,0.96,148.38,1.55
2020,Connecticut,49.29,1.31,106.98,2.14
2020,Delaware,17.15,1.12,32.82,1.52
2020,District of Columbia,18.41,1.12,35.29,1.52
2020,Florida,316.42,0.92,672.39,1.36
2020,Georgia,230.36,1.28,381.53,1.48
2020,Idaho,28.22,0.85,71.47,1.67
2020,Illinois,188.85,1.05,389.72,1.59
2020,Indiana,136.99,1.08,283.18,1.7
2020,Iowa,54.06,0.9,82.58,1.02
2020,Kansas,69.55,1.3,129.5,1.72
2020,Kentucky,106.65,1.13,177.88,1.33
2020,Louisiana,95.31,0.88,160.47,1.11
2020,Maine,20.12,1.41,33.17,1.71
2020,Maryland,95.45,1.11,179.41,1.48
2020,Massachusetts,97.32,1.32,217.57,2.22
2020,Michigan,113.94,0.89,210.6,1.25
2020,Minnesota,72.88,0.84,111.17,0.96
2020,Mississippi,57.34,0.98,84.42,1.04
2020,Missouri,156.11,1.41,314.2,2.09
2020,Montana,13.75,0.77,25.31,1.13
2020,Nebraska,44.98,1.17,68.35,1.24
2020,Nevada,46.71,0.88,110.43,1.41
2020,New Hampshire,19.56,1.39,33.45,1.75
2020,New Jersey,133.9,1.24,301.34,2.04
2020,New Mexico,24.42,0.92,29.9,0.77
2020,New York,269.89,1.3,708.6,2.58
2020,North Carolina,232.61,1.31,349.34,1.36
2020,North Dakota,20.82,0.99,23.22,0.77
2020,Ohio,214.01,1.14,433.0,1.65
2020,Oklahoma,96.5,1.27,141.32,1.27
2020,Oregon,50.52,0.77,85.31,1.05
2020,Pennsylvania,211.85,1.13,426.49,1.63
2020,Rhode Island,13.71,1.36,31.96,2.39
2020,South Carolina,138.56,1.29,234.23,1.53
2020,South Dakota,15.45,0.99,20.18,0.93
2020,Tennessee,167.17,1.28,237.57,1.27
2020,Texas,563.28,1.11,612.55,0.8
2020,Utah,33.35,0.76,92.33,1.68
2020,Vermont,9.74,1.42,15.6,1.68
2020,Virginia,166.21,1.11,307.4,1.45
2020,Washington,83.28,0.64,127.37,0.77
2020,West Virginia,41.02,1.12,65.94,1.25
2020,Wisconsin,77.41,0.89,142.18,1.26
2020,Wyoming,14.27,0.77,31.44,1.37
2025,Alabama,176.22,1.66,232.84,1.57
2025,Arizona,146.19,1.25,288.8,1.59
2025,Arkansas,72.45,1.23,164.03,2.19
2025,California,396.84,0.98,955.77,1.7
2025,Colorado,84.5,1.08,172.42,1.73
2025,Connecticut,57.83,1.59,115.2,2.46
2025,Delaware,23.24,1.59,30.6,1.48
2025,District of Columbia,25.33,1.57,35.0,1.55
2025,Florida,416.79,1.15,739.63,1.47
2025,Georgia,331.1,1.85,468.62,1.88
2025,Idaho,43.25,1.18,98.43,2.11
2025,Illinois,242.59,1.38,489.15,2.11
2025,Indiana,153.06,1.21,335.92,2.09
2025,Iowa,65.12,1.09,109.34,1.4
2025,Kansas,77.93,1.5,172.55,2.46
2025,Kentucky,142.48,1.51,222.92,1.75
2025,Louisiana,124.46,1.14,279.45,2.03
2025,Maine,23.97,1.71,38.84,2.12
2025,Maryland,128.34,1.59,165.45,1.46
2025,Massachusetts,116.12,1.59,231.8,2.46
2025,Michigan,131.05,1.03,242.26,1.49
2025,Minnesota,91.28,1.05,125.53,1.11
2025,Mississippi,81.0,1.38,139.16,1.8
2025,Missouri,160.41,1.51,350.29,2.52
2025,Montana,17.0,0.92,28.28,1.24
2025,Nebraska,54.62,1.4,109.54,2.07
2025,Nevada,67.83,1.24,138.31,1.66
2025,New Hampshire,23.24,1.65,40.62,2.22
2025,New Jersey,157.9,1.53,290.94,2.08
2025,New Mexico,28.73,1.01,52.81,1.37
2025,New York,309.01,1.53,691.68,2.64
2025,North Carolina,314.3,1.78,435.17,1.75
2025,North Dakota,27.31,1.27,33.2,1.13
2025,Ohio,282.99,1.55,481.79,1.92
2025,Oklahoma,117.0,1.51,227.47,2.14
2025,Oregon,68.66,0.98,122.43,1.41
2025,Pennsylvania,277.08,1.55,425.72,1.72
2025,Rhode Island,15.52,1.61,32.83,2.64
2025,South Carolina,183.71,1.72,246.78,1.65
2025,South Dakota,20.15,1.28,24.55,1.15
2025,Tennessee,222.87,1.68,321.96,1.74
2025,Texas,694.49,1.29,999.2,1.31
2025,Utah,47.54,0.99,120.07,2.03
2025,Vermont,11.55,1.71,18.71,2.11
2025,Virginia,224.46,1.54,366.01,1.82
2025,Washington,110.39,0.78,161.46,0.88
2025,West Virginia,55.13,1.6,69.88,1.43
2025,Wisconsin,86.65,1.01,134.28,1.22
2025,Wyoming,17.89,0.95,36.68,1.61
2030,Alabama,176.57,1.56,369.06,2.32
2030,Arizona,158.8,1.25,364.43,1.93
2030,Arkansas,63.94,1.08,157.73,2.04
2030,California,433.64,1.03,990.57,1.69
2030,Colorado,84.84,0.99,263.96,2.49
2030,Connecticut,62.98,1.69,122.39,2.5
2030,Delaware,20.2,1.33,40.32,1.91
2030,District of Columbia,22.07,1.31,53.62,2.37
2030,Florida,534.58,1.49,945.97,1.84
2030,Georgia,305.81,1.61,628.01,2.35
2030,Idaho,47.69,1.28,113.31,2.3
2030,Illinois,203.49,1.15,448.96,1.89
2030,Indiana,135.15,1.03,356.8,2.12
2030,Iowa,65.68,1.04,172.35,2.13
2030,Kansas,84.94,1.52,255.79,3.48
2030,Kentucky,115.0,1.21,217.99,1.65
2030,Louisiana,116.47,1.02,320.85,2.22
2030,Maine,26.15,1.84,39.16,2.06
2030,Maryland,109.48,1.3,250.18,2.18
2030,Massachusetts,126.34,1.66,266.88,2.69
2030,Michigan,124.53,0.95,274.86,1.62
2030,Minnesota,89.54,1.0,171.23,1.46
2030,Mississippi,78.59,1.28,187.07,2.3
2030,Missouri,164.3,1.47,480.71,3.33
2030,Montana,20.97,1.1,45.18,1.91
2030,Nebraska,58.23,1.4,156.92,2.81
2030,Nevada,78.51,1.34,178.39,2.07
2030,New Hampshire,25.18,1.76,43.14,2.27
2030,New Jersey,142.76,1.31,356.3,2.46
2030,New Mexico,28.97,0.97,65.36,1.65
2030,New York,290.06,1.41,674.59,2.5
2030,North Carolina,281.36,1.54,580.48,2.26
2030,North Dakota,29.03,1.33,46.16,1.51
2030,Ohio,247.29,1.3,556.93,2.14
2030,Oklahoma,123.12,1.49,339.05,3.04
2030,Oregon,91.87,1.34,138.34,1.55
2030,Pennsylvania,244.66,1.3,554.02,2.16
2030,Rhode Island,16.63,1.66,35.76,2.74
2030,South Carolina,160.24,1.44,308.7,1.96
2030,South Dakota,20.4,1.27,41.06,1.88
2030,Tennessee,209.32,1.51,471.67,2.46
2030,Texas,666.84,1.17,1455.37,1.82
2030,Utah,44.63,0.89,112.52,1.8
2030,Vermont,12.25,1.81,19.25,2.13
2030,Virginia,195.05,1.29,463.23,2.27
2030,Washington,143.66,1.03,161.32,0.88
2030,West Virginia,47.65,1.38,85.21,1.74
2030,Wisconsin,85.58,0.99,148.29,1.31
2030,Wyoming,17.2,0.88,40.16,1.68
2035,Alabama,131.65,1.22,201.78,1.32
