Year,Name,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_MWh,Peak_Rel_Diff_%
2020,Alabama,147.1,1.4,204.76,1.31
2020,Arizona,137.79,1.29,221.69,1.24
2020,Arkansas,55.33,0.98,76.73,0.96
2020,California,535.22,1.44,899.92,1.68
2020,Colorado,110.66,1.56,138.71,1.44
2020,Connecticut,34.71,0.93,71.48,1.41
2020,Delaware,16.17,1.07,29.21,1.33
2020,District of Columbia,20.37,1.26,35.67,1.51
2020,Florida,480.62,1.46,680.81,1.37
2020,Georgia,189.66,1.08,285.03,1.1
2020,Idaho,23.27,0.74,31.75,0.73
2020,Illinois,154.94,0.89,272.3,1.1
2020,Indiana,87.9,0.72,150.0,0.89
2020,Iowa,43.36,0.74,62.87,0.76
2020,Kansas,34.83,0.67,52.32,0.69
2020,Kentucky,87.95,0.94,137.36,1.02
2020,Louisiana,177.01,1.67,255.87,1.74
2020,Maine,14.7,1.01,29.26,1.48
2020,Maryland,70.94,0.83,135.77,1.11
2020,Massachusetts,63.26,0.86,134.26,1.35
2020,Michigan,76.33,0.61,128.5,0.76
2020,Minnesota,49.84,0.58,80.89,0.7
2020,Mississippi,74.74,1.29,106.87,1.31
2020,Missouri,64.22,0.6,91.02,0.6
2020,Montana,22.71,1.3,24.8,1.11
2020,Nebraska,29.87,0.79,40.81,0.73
2020,Nevada,27.01,0.54,50.88,0.64
2020,New Hampshire,14.02,0.98,28.23,1.46
2020,New Jersey,73.0,0.69,143.66,0.96
2020,New Mexico,29.53,1.1,37.01,0.95
2020,New York,253.37,1.27,424.0,1.5
2020,North Carolina,189.21,1.07,269.61,1.04
2020,North Dakota,16.57,0.78,22.16,0.73
2020,Ohio,133.37,0.71,263.85,0.99
2020,Oklahoma,77.52,1.04,103.68,0.91
2020,Oregon,59.61,0.94,59.09,0.72
2020,Pennsylvania,162.89,0.89,306.94,1.16
2020,Rhode Island,8.79,0.88,18.5,1.37
2020,South Carolina,114.3,1.09,155.54,1.0
2020,South Dakota,8.18,0.52,11.29,0.51
2020,Tennessee,179.29,1.38,264.29,1.39
2020,Texas,717.96,1.39,1039.59,1.34
2020,Utah,54.78,1.31,70.42,1.27
2020,Vermont,6.17,0.88,12.96,1.37
2020,Virginia,164.35,1.11,292.26,1.35
2020,Washington,100.74,0.8,87.1,0.53
2020,West Virginia,29.45,0.79,57.01,1.07
2020,Wisconsin,48.66,0.57,82.02,0.72
2020,Wyoming,25.14,1.4,28.55,1.24
2025,Alabama,222.8,2.12,340.58,2.26
2025,Arizona,261.47,2.28,452.79,2.43
2025,Arkansas,97.9,1.74,149.05,1.94
2025,California,888.57,2.28,1328.97,2.32
2025,Colorado,198.19,2.6,271.71,2.66
2025,Connecticut,41.69,1.18,71.04,1.48
2025,Delaware,20.78,1.42,34.94,1.66
2025,District of Columbia,18.12,1.13,31.92,1.38
2025,Florida,751.53,2.15,1176.85,2.29
2025,Georgia,303.06,1.72,480.19,1.91
2025,Idaho,58.9,1.69,97.48,2.07
2025,Illinois,203.39,1.2,335.68,1.42
2025,Indiana,134.34,1.11,212.93,1.3
2025,Iowa,75.74,1.29,116.89,1.47
2025,Kansas,58.77,1.2,98.11,1.37
2025,Kentucky,138.38,1.5,212.0,1.62
