Year,Name,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_MWh,Peak_Rel_Diff_%
2020,AEC,9.27,1.71,12.42,1.45
2020,AECI,27.96,1.14,44.75,1.16
2020,AVA,16.53,1.09,20.44,0.96
2020,AZPS,39.73,1.09,50.8,0.78
2020,BANC,32.71,1.56,47.19,1.36
2020,BPAT,81.74,1.16,103.93,1.11
2020,CHPD,3.04,1.32,4.27,1.05
2020,CISO,438.59,1.55,577.99,1.39
2020,CPLE,86.19,1.24,111.66,1.07
2020,DOPD,2.31,1.14,2.63,0.82
2020,DUK,140.36,1.14,222.49,1.26
2020,EPE,12.69,1.31,18.68,1.21
2020,ERCO,599.05,1.55,759.65,1.28
2020,FMPP,32.73,1.39,55.37,1.59
2020,FPC,110.71,1.58,179.61,1.63
2020,FPL,200.86,1.22,352.94,1.47
2020,GCPD,7.31,1.1,8.64,1.04
2020,GVL,4.98,1.94,7.38,1.85
2020,HST,1.06,1.45,1.73,1.66
2020,IID,6.75,1.54,12.73,1.4
2020,IPCO,15.86,0.8,18.47,0.61
2020,ISNE,155.84,0.94,236.58,1.05
2020,JEA,31.66,1.86,45.57,1.81
2020,LDWP,57.17,1.63,79.34,1.44
2020,LGEE,44.75,1.21,72.99,1.42
2020,MISO,756.1,0.98,891.68,0.86
2020,NEVP,29.04,0.54,65.21,0.82
2020,NSB,1.16,2.1,2.16,2.44
2020,NWMT,14.7,1.35,19.17,1.42
2020,NYIS,243.76,1.27,371.12,1.38
2020,PACE,71.6,1.15,82.1,0.99
2020,PACW,28.34,1.11,32.23,0.96
2020,PGE,32.12,1.26,38.08,1.12
2020,PJM,823.72,0.84,1285.91,0.91
2020,PNM,14.65,0.86,18.86,0.78
2020,PSCO,75.93,1.5,92.7,1.33
2020,PSEI,47.15,1.22,58.68,1.12
2020,SC,39.96,1.29,53.07,1.15
2020,SCEG,40.62,1.27,54.96,1.16
2020,SCL,16.1,1.26,19.77,1.16
2020,SEC,3.11,1.79,3.88,1.48
2020,SOCO,392.97,1.47,514.02,1.29
2020,SPA,0.79,1.06,1.07,1.05
2020,SRP,38.53,1.08,56.17,0.87
2020,SWPP,272.05,0.86,340.08,0.72
2020,TAL,6.88,1.91,10.36,1.91
2020,TEC,46.76,1.67,75.2,1.79
2020,TEPC,19.49,1.13,26.53,0.92
2020,TIDC,4.96,1.54,7.18,1.35
2020,TPWR,8.45,1.34,9.8,1.11
2020,TVA,275.06,1.38,390.2,1.37
2020,WACM,40.74,1.28,43.14,1.08
2020,WALC,13.44,1.2,18.23,1.17
2020,WAUW,1.17,1.35,1.65,1.39
2025,AEC,13.07,2.34,20.05,2.3
2025,AECI,36.22,1.6,39.19,1.06
2025,AVA,27.15,1.63,26.75,1.13
2025,AZPS,88.89,2.21,148.87,2.22
2025,BANC,53.47,2.3,101.72,2.68
2025,BPAT,132.33,1.74,148.51,1.45
2025,CHPD,4.44,1.74,5.73,1.34
2025,CISO,717.49,2.34,1162.78,2.64
2025,CPLE,104.61,1.51,154.77,1.51
2025,DOPD,3.77,1.67,3.65,1.05
2025,DUK,177.82,1.48,259.87,1.51
2025,EPE,20.57,2.08,35.67,2.33
2025,ERCO,948.18,2.36,1498.03,2.51
2025,FMPP,57.16,2.31,96.53,2.69
2025,FPC,186.23,2.47,333.28,2.94
2025,FPL,353.49,2.09,587.63,2.4
2025,GCPD,11.63,1.6,15.49,1.69
2025,GVL,6.98,2.53,11.05,2.67
2025,HST,1.47,1.96,2.36,2.19
2025,IID,12.01,2.43,25.21,2.65
2025,IPCO,37.88,1.66,72.52,2.14
2025,ISNE,223.74,1.38,323.6,1.49
2025,JEA,45.44,2.51,70.17,2.64
2025,LDWP,91.51,2.4,157.64,2.73
2025,LGEE,73.09,2.04,110.78,2.21
2025,MISO,1254.2,1.62,1577.19,1.56
2025,NEVP,83.74,1.55,161.34,1.86
2025,NSB,1.77,3.0,3.24,3.52
2025,NWMT,30.57,2.67,37.87,2.66
2025,NYIS,350.6,1.86,478.26,1.86
2025,PACE,144.06,2.14,207.16,2.37
2025,PACW,49.58,1.8,62.23,1.74
2025,PGE,51.04,1.89,67.43,1.87
2025,PJM,1860.15,1.95,2576.99,1.89
2025,PNM,25.59,1.42,35.98,1.47
2025,PSCO,137.56,2.55,172.84,2.35
2025,PSEI,71.71,1.7,85.18,1.5
2025,SC,54.25,1.75,75.44,1.67
2025,SCEG,56.97,1.76,81.61,1.78
2025,SCL,24.52,1.77,28.29,1.56
2025,SEC,4.83,2.55,7.95,2.76
2025,SOCO,534.15,2.0,724.54,1.89
2025,SPA,1.12,1.53,1.5,1.48
2025,SRP,86.22,2.21,150.81,2.27
2025,SWPP,481.59,1.56,548.35,1.23
2025,TAL,10.26,2.7,15.26,2.7
2025,TEC,71.7,2.41,124.83,2.9
2025,TEPC,41.63,2.25,71.38,2.43
2025,TIDC,8.46,2.37,15.45,2.7
2025,TPWR,12.43,1.8,14.13,1.47
2025,TVA,416.03,2.11,571.89,2.02
2025,WACM,78.61,2.31,90.93,2.17
2025,WALC,26.64,2.22,39.66,2.38
2025,WAUW,2.25,2.48,3.07,2.45
2030,AEC,16.24,2.89,29.59,3.3
2030,AECI,55.54,2.36,107.04,2.96
2030,AVA,39.16,2.3,49.8,2.11
2030,AZPS,124.24,2.87,250.96,3.59
2030,BANC,77.38,3.18,148.64,3.79
2030,BPAT,179.37,2.32,200.98,1.97
2030,CHPD,5.52,2.15,7.08,1.63
2030,CISO,1000.75,3.12,1678.95,3.65
2030,CPLE,127.31,1.85,222.42,2.13
2030,DOPD,4.71,2.1,4.82,1.43
2030,DUK,241.7,1.97,441.38,2.48
2030,EPE,29.73,2.92,54.35,3.41
2030,ERCO,1171.55,2.87,2040.91,3.31
2030,FMPP,78.08,3.18,117.92,3.24
2030,FPC,232.95,3.16,364.01,3.16
2030,FPL,522.34,3.06,802.79,3.2
2030,GCPD,15.96,2.15,23.9,2.52
2030,GVL,8.79,3.21,14.69,3.47
2030,HST,2.34,3.03,3.45,3.14
2030,IID,16.33,3.11,36.35,3.69
2030,IPCO,62.0,2.59,116.5,3.26
2030,ISNE,304.88,1.84,449.9,1.98
2030,JEA,54.33,3.11,80.38,3.03
2030,LDWP,124.02,3.11,214.31,3.52
2030,LGEE,73.39,2.12,109.76,2.18
2030,MISO,1662.19,2.11,2430.16,2.3
2030,NEVP,115.43,2.01,229.61,2.57
2030,NSB,2.04,3.58,3.55,3.81
2030,NWMT,43.44,3.69,56.12,3.82
2030,NYIS,470.25,2.45,670.76,2.52
2030,PACE,217.47,3.09,334.91,3.63
2030,PACW,72.07,2.55,93.47,2.51
2030,PGE,70.75,2.58,94.86,2.53
2030,PJM,1854.55,1.93,2975.09,2.12
2030,PNM,56.11,2.97,86.83,3.4
2030,PSCO,192.66,3.39,279.97,3.6
2030,PSEI,92.31,2.16,108.97,1.9
2030,SC,70.54,2.22,121.61,2.56
2030,SCEG,73.06,2.2,125.79,2.57
2030,SCL,30.27,2.15,35.82,1.92
2030,SEC,5.83,3.23,8.76,3.22
2030,SOCO,649.92,2.37,1099.77,2.67
2030,SPA,1.49,2.08,2.02,2.05
2030,SRP,120.82,2.88,248.65,3.56
2030,SWPP,743.56,2.29,1303.44,2.76
2030,TAL,12.65,3.31,23.17,3.98
2030,TEC,91.56,3.06,142.42,3.23
2030,TEPC,58.9,2.99,112.69,3.7
2030,TIDC,11.99,3.21,22.32,3.77
2030,TPWR,15.09,2.16,17.63,1.82
2030,TVA,515.44,2.6,797.01,2.73
2030,WACM,111.6,3.14,145.78,3.3
2030,WALC,37.56,3.0,56.87,3.36
2030,WAUW,3.42,3.62,5.28,4.03
2035,AEC,19.67,3.43,33.01,3.69
2035,AECI,72.36,3.04,127.85,3.58
2035,AVA,44.86,2.64,60.56,2.69
2035,AZPS,158.11,3.68,289.79,4.02
2035,BANC,81.37,3.4,135.17,3.54
2035,BPAT,211.59,2.75,268.73,2.79
2035,CHPD,6.59,2.58,10.51,2.58
2035,CISO,1066.8,3.32,1490.08,3.18
2035,CPLE,158.22,2.3,266.68,2.6
2035,DOPD,5.9,2.57,8.98,2.81
2035,DUK,283.05,2.34,482.7,2.77
2035,EPE,34.86,3.38,61.97,3.74
2035,ERCO,1345.4,3.35,2009.84,3.26
2035,FMPP,91.37,3.61,141.86,3.83
2035,FPC,275.23,3.61,456.24,3.9
2035,FPL,645.78,3.7,986.79,3.85
2035,GCPD,18.36,2.49,25.68,2.78
2035,GVL,10.78,3.79,18.87,4.42
2035,HST,3.14,4.04,4.53,4.02
2035,IID,17.16,3.33,32.95,3.23
2035,IPCO,69.32,2.94,123.07,3.53
2035,ISNE,324.73,1.91,477.2,2.02
2035,JEA,67.61,3.69,110.61,4.15
2035,LDWP,131.36,3.28,191.45,3.05
2035,LGEE,108.53,3.03,181.54,3.54
2035,MISO,2218.68,2.75,3611.13,3.28
2035,NEVP,119.83,2.08,222.32,2.41
2035,NSB,2.33,3.97,4.02,4.29
2035,NWMT,52.11,4.43,65.02,4.54
2035,NYIS,566.66,2.85,843.82,2.99
2035,PACE,253.92,3.62,369.17,3.98
2035,PACW,81.77,2.91,107.86,3.01
2035,PGE,83.63,3.07,113.97,3.19
2035,PJM,2434.56,2.44,4442.19,3.02
2035,PNM,62.15,3.2,100.69,3.73
2035,PSCO,234.99,4.03,375.54,4.6
2035,PSEI,108.15,2.53,139.37,2.51
