Name,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
AEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,15.06,2070.0,17.1
AECI,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,10.33,2060.0,12.57
AVA,rcp85hotter_ssp3,rcp45hotter_ssp3,,,2090.0,10.06
AZPS,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,11.91,2070.0,13.36
BANC,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,13.72,2070.0,16.36
BPAT,rcp85hotter_ssp3,rcp45hotter_ssp3,,,,
CHPD,rcp85hotter_ssp3,rcp45hotter_ssp3,,,,
CISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,12.88,2070.0,14.79
CPLE,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,10.76,2070.0,12.95
DOPD,rcp85hotter_ssp3,rcp45hotter_ssp3,,,,
DUK,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,10.64,2070.0,13.21
EPE,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,10.55,2060.0,11.44
ERCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,11.14,2060.0,10.79
FMPP,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,18.15,2070.0,18.83
FPC,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,18.42,2060.0,10.43
FPL,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,18.43,2065.0,10.18
GCPD,rcp85hotter_ssp3,rcp45hotter_ssp3,,,,
GVL,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,18.63,2060.0,10.45
HST,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,18.91,2070.0,17.89
IID,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,14.42,2070.0,13.78
IPCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2080.0,10.45,2060.0,11.46
ISNE,rcp85hotter_ssp3,rcp45hotter_ssp3,,,2075.0,10.2
JEA,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,17.35,2070.0,19.08
LDWP,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,13.81,2070.0,15.27
LGEE,rcp85hotter_ssp3,rcp45hotter_ssp3,2075.0,10.29,2070.0,10.22
