Year,Name,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_MWh,Peak_Rel_Diff_%
2020,AEC,8.72,1.63,12.94,1.55
2020,AECI,54.15,2.19,86.87,2.3
2020,AVA,12.63,0.83,16.26,0.79
2020,AZPS,44.39,1.07,93.05,1.4
2020,BANC,22.05,0.98,59.1,1.78
2020,BPAT,51.92,0.74,81.18,0.92
2020,CHPD,2.96,1.25,5.0,1.3
2020,CISO,214.98,0.72,530.45,1.32
2020,CPLE,115.36,1.66,156.61,1.49
2020,DOPD,2.57,1.22,3.52,1.15
2020,DUK,172.07,1.38,296.27,1.66
2020,EPE,12.72,1.27,24.72,1.62
2020,ERCO,499.35,1.32,510.54,0.87
2020,FMPP,28.07,1.18,53.04,1.53
2020,FPC,92.36,1.28,192.08,1.75
2020,FPL,165.33,0.99,324.62,1.36
2020,GCPD,4.33,0.65,8.03,1.0
2020,GVL,4.71,1.78,8.36,2.11
2020,HST,1.07,1.49,1.54,1.49
2020,IID,5.82,1.18,11.74,1.34
2020,IPCO,22.69,1.08,54.97,1.84
2020,ISNE,223.8,1.31,476.24,2.09
2020,JEA,26.95,1.58,42.15,1.7
2020,LDWP,38.08,1.0,105.79,1.98
2020,LGEE,56.05,1.54,94.14,1.84
2020,MISO,682.83,0.86,1207.4,1.16
2020,NEVP,49.89,0.95,120.59,1.52
2020,NSB,1.17,2.13,2.19,2.48
2020,NWMT,7.45,0.69,10.55,0.81
2020,NYIS,271.18,1.35,705.13,2.64
2020,PACE,50.72,0.79,140.04,1.75
2020,PACW,20.21,0.78,34.21,1.06
2020,PGE,21.89,0.87,40.59,1.25
2020,PJM,1159.59,1.14,2339.83,1.65
2020,PNM,16.98,1.0,27.45,1.16
2020,PSCO,51.85,1.0,117.28,1.7
2020,PSEI,23.49,0.61,33.1,0.66
2020,SC,47.87,1.48,78.32,1.67
2020,SCEG,45.55,1.35,84.12,1.76
2020,SCL,7.46,0.59,10.68,0.65
2020,SEC,2.5,1.44,3.6,1.4
2020,SOCO,357.57,1.31,592.77,1.52
2020,SPA,0.92,1.26,1.19,1.2
2020,SRP,43.79,1.11,92.97,1.43
2020,SWPP,398.1,1.23,668.61,1.44
2020,TAL,6.09,1.69,10.09,1.87
2020,TEC,40.88,1.43,72.35,1.74
2020,TEPC,21.25,1.16,41.18,1.41
2020,TIDC,3.16,0.9,8.53,1.66
2020,TPWR,4.46,0.71,7.03,0.83
2020,TVA,260.35,1.32,368.06,1.3
2020,WACM,30.37,0.95,53.1,1.35
2020,WALC,7.24,0.67,9.35,0.61
2020,WAUW,1.21,1.37,2.08,1.81
2025,AEC,11.46,2.1,13.65,1.62
2025,AECI,60.71,2.49,105.47,2.85
2025,AVA,18.03,1.07,23.27,1.03
2025,AZPS,60.81,1.41,115.48,1.67
2025,BANC,32.64,1.36,81.56,2.22
2025,BPAT,67.98,0.88,116.94,1.19
2025,CHPD,3.59,1.4,5.19,1.26
2025,CISO,292.0,0.94,685.52,1.61
2025,CPLE,155.25,2.2,201.15,1.96
2025,DOPD,3.48,1.45,6.2,1.85
2025,DUK,228.99,1.83,339.61,1.94
2025,EPE,15.03,1.47,30.18,2.01
2025,ERCO,597.97,1.5,760.16,1.29
2025,FMPP,33.2,1.31,55.34,1.56
2025,FPC,119.78,1.56,207.55,1.86
2025,FPL,202.05,1.14,386.16,1.58
2025,GCPD,5.42,0.74,9.71,1.09
2025,GVL,5.8,2.01,10.23,2.48
2025,HST,1.16,1.55,1.49,1.38
2025,IID,7.59,1.46,16.35,1.78
2025,IPCO,35.4,1.48,79.11,2.4
2025,ISNE,270.04,1.6,527.12,2.41
2025,JEA,34.74,1.88,53.39,2.05
2025,LDWP,48.23,1.22,132.83,2.37
2025,LGEE,69.88,1.93,104.02,2.09
2025,MISO,805.95,1.0,1583.71,1.55
2025,NEVP,71.01,1.31,147.57,1.74
2025,NSB,1.45,2.44,2.3,2.53
2025,NWMT,8.61,0.76,12.06,0.87
2025,NYIS,309.03,1.57,690.93,2.69
2025,PACE,71.88,1.06,183.87,2.19
2025,PACW,27.87,1.0,48.86,1.42
2025,PGE,29.47,1.09,59.46,1.72
2025,PJM,1538.39,1.55,2558.61,1.87
2025,PNM,19.15,1.06,38.96,1.62
2025,PSCO,63.18,1.15,141.66,1.97
2025,PSEI,30.32,0.74,37.96,0.69
2025,SC,60.86,1.84,78.09,1.68
2025,SCEG,62.1,1.81,84.44,1.78
2025,SCL,8.94,0.66,11.63,0.66
2025,SEC,2.68,1.45,3.61,1.3
2025,SOCO,512.85,1.88,720.28,1.9
2025,SPA,1.04,1.42,1.37,1.38
2025,SRP,60.49,1.48,110.65,1.64
2025,SWPP,481.74,1.48,1027.99,2.33
2025,TAL,7.92,2.06,12.37,2.21
2025,TEC,46.3,1.54,69.78,1.63
2025,TEPC,28.55,1.47,55.78,1.86
2025,TIDC,4.13,1.12,10.47,1.89
2025,TPWR,5.45,0.8,8.47,0.91
2025,TVA,347.77,1.73,496.26,1.76
2025,WACM,34.55,1.03,54.06,1.32
2025,WALC,9.27,0.81,12.93,0.79
2025,WAUW,1.32,1.42,2.69,2.18
2030,AEC,13.48,2.25,25.01,2.72
2030,AECI,63.14,2.42,163.55,4.34
2030,AVA,24.69,1.42,31.86,1.34
2030,AZPS,70.52,1.41,153.84,2.0
2030,BANC,43.83,1.66,101.05,2.54
2030,BPAT,92.9,1.17,124.72,1.2
2030,CHPD,4.48,1.7,5.04,1.14
2030,CISO,333.19,0.98,729.75,1.56
2030,CPLE,145.65,1.93,277.6,2.49
2030,DOPD,4.45,1.87,6.98,2.05
2030,DUK,220.95,1.63,439.0,2.3
2030,EPE,13.81,1.23,30.95,1.89
2030,ERCO,602.9,1.36,1145.81,1.78
2030,FMPP,44.13,1.65,79.22,2.08
2030,FPC,155.75,1.95,277.37,2.3
2030,FPL,283.6,1.53,523.83,2.0
2030,GCPD,6.96,0.91,11.84,1.24
2030,GVL,6.88,2.29,12.82,2.91
2030,HST,1.69,2.11,2.3,2.01
2030,IID,8.73,1.51,18.3,1.82
2030,IPCO,40.19,1.55,102.1,2.78
2030,ISNE,307.05,1.69,607.95,2.54
2030,JEA,37.43,1.96,68.32,2.46
2030,LDWP,53.36,1.23,124.56,2.01
2030,LGEE,57.99,1.53,108.0,2.04
2030,MISO,808.98,0.93,1836.43,1.64
2030,NEVP,86.01,1.4,196.02,2.14
2030,NSB,1.57,2.53,3.1,3.19
2030,NWMT,11.76,0.97,19.22,1.29
2030,NYIS,305.23,1.44,704.58,2.53
2030,PACE,70.68,0.95,175.89,1.89
2030,PACW,37.37,1.29,58.39,1.56
2030,PGE,40.78,1.46,68.15,1.82
2030,PJM,1411.81,1.31,3214.17,2.18
2030,PNM,20.34,1.02,39.88,1.51
2030,PSCO,69.16,1.08,220.89,2.72
2030,PSEI,41.97,0.98,39.72,0.68
2030,SC,57.3,1.59,111.4,2.15
2030,SCEG,57.18,1.51,109.89,2.06
2030,SCL,11.87,0.83,13.12,0.7
2030,SEC,3.72,1.94,6.2,2.17
2030,SOCO,505.51,1.67,1040.76,2.43
2030,SPA,0.91,1.21,1.64,1.63
2030,SRP,71.31,1.5,143.11,1.91
2030,SWPP,531.8,1.46,1543.98,3.19
2030,TAL,8.4,2.04,15.78,2.59
2030,TEC,64.21,2.01,103.16,2.25
2030,TEPC,32.93,1.45,77.32,2.33
2030,TIDC,5.3,1.31,12.4,2.06
2030,TPWR,7.29,1.03,7.67,0.78
2030,TVA,344.85,1.55,768.55,2.49
2030,WACM,36.56,0.96,86.7,1.9
2030,WALC,11.81,0.9,20.48,1.16
2030,WAUW,1.62,1.6,3.45,2.59
2035,AEC,10.79,1.72,13.95,1.45
2035,AECI,56.6,2.13,106.19,2.75
2035,AVA,21.35,1.16,20.52,0.85
2035,AZPS,88.89,1.64,171.43,1.98
2035,BANC,39.08,1.43,73.51,1.78
2035,BPAT,76.75,0.93,88.55,0.87
2035,CHPD,4.03,1.49,3.97,0.92
2035,CISO,352.81,0.98,585.79,1.16
2035,CPLE,146.38,1.84,226.86,1.95
2035,DOPD,3.87,1.57,4.66,1.37
2035,DUK,217.05,1.53,380.14,1.91
2035,EPE,17.95,1.43,39.08,2.15
2035,ERCO,793.89,1.65,1439.84,2.1
2035,FMPP,41.79,1.43,73.23,1.78
2035,FPC,153.25,1.74,282.06,2.17
2035,FPL,281.09,1.39,478.98,1.68
2035,GCPD,6.43,0.8,11.31,1.14
2035,GVL,7.58,2.28,13.73,2.88
2035,HST,1.61,1.88,1.86,1.49
2035,IID,11.0,1.8,19.74,1.8
2035,IPCO,35.19,1.32,84.34,2.19
2035,ISNE,261.41,1.33,496.94,1.89
2035,JEA,41.51,1.99,72.33,2.45
2035,LDWP,53.86,1.16,112.16,1.66
2035,LGEE,65.7,1.59,108.13,1.88
2035,MISO,967.42,1.01,2033.28,1.63
2035,NEVP,82.59,1.26,172.62,1.7
2035,NSB,1.68,2.45,3.38,3.23
2035,NWMT,11.07,0.87,16.93,1.09
2035,NYIS,309.74,1.33,741.0,2.37
2035,PACE,82.47,1.04,215.44,2.17
2035,PACW,32.08,1.06,47.74,1.25
2035,PGE,37.46,1.27,65.15,1.71
2035,PJM,1590.96,1.35,3466.08,2.1
2035,PNM,26.85,1.22,52.12,1.75
2035,PSCO,77.74,1.13,221.53,2.45
2035,PSEI,39.49,0.87,34.38,0.58
2035,SC,62.61,1.65,102.44,1.89
2035,SCEG,60.13,1.51,106.3,1.93
2035,SCL,11.37,0.75,12.1,0.63
2035,SEC,3.22,1.53,4.4,1.42
2035,SOCO,406.13,1.32,638.95,1.46
2035,SPA,0.99,1.24,1.37,1.25
2035,SRP,83.47,1.61,163.59,1.93
2035,SWPP,503.04,1.36,1290.57,2.62
2035,TAL,8.88,2.03,15.05,2.33
2035,TEC,64.1,1.85,97.43,1.97
2035,TEPC,39.8,1.62,78.15,2.08
2035,TIDC,4.73,1.15,7.58,1.19
2035,TPWR,6.62,0.89,6.12,0.62
2035,TVA,323.69,1.39,576.13,1.77
2035,WACM,44.5,1.09,89.81,1.78
2035,WALC,11.42,0.85,13.5,0.7
2035,WAUW,1.57,1.49,3.39,2.45
2040,AEC,11.42,1.63,20.13,1.9
2040,AECI,78.72,2.59,146.26,3.1
2040,AVA,28.99,1.42,39.38,1.5
2040,AZPS,82.97,1.37,195.62,2.06
2040,BANC,42.54,1.4,90.44,1.96
2040,BPAT,112.91,1.25,153.31,1.41
2040,CHPD,5.46,1.79,6.51,1.43
2040,CISO,381.23,0.96,752.64,1.37
2040,CPLE,144.13,1.68,255.57,2.1
2040,DOPD,5.95,2.14,8.19,2.22
2040,DUK,207.78,1.37,370.23,1.79
2040,EPE,17.17,1.27,38.44,1.93
2040,ERCO,726.39,1.4,1360.79,1.81
2040,FMPP,40.79,1.36,63.54,1.42
2040,FPC,146.07,1.61,241.49,1.71
2040,FPL,254.96,1.23,380.25,1.24
2040,GCPD,9.78,1.14,14.49,1.36
2040,GVL,6.92,2.0,13.21,2.55
2040,HST,1.74,1.95,1.84,1.37
2040,IID,10.9,1.64,19.68,1.68
2040,IPCO,43.58,1.47,106.05,2.47
2040,ISNE,291.26,1.39,501.12,1.86
2040,JEA,38.77,1.76,63.83,1.97
2040,LDWP,59.17,1.17,137.05,1.89
2040,LGEE,81.43,1.8,179.94,2.97
2040,MISO,975.1,0.97,1782.32,1.4
2040,NEVP,99.05,1.37,210.92,1.92
2040,NSB,1.63,2.35,2.98,2.61
2040,NWMT,15.24,1.09,29.14,1.73
2040,NYIS,328.26,1.34,670.01,2.1
2040,PACE,93.89,1.08,234.46,2.15
2040,PACW,42.26,1.29,64.65,1.59
2040,PGE,46.35,1.47,81.51,2.02
2040,PJM,1426.2,1.17,2869.14,1.74
2040,PNM,30.11,1.24,56.73,1.72
2040,PSCO,108.2,1.42,288.41,2.87
2040,PSEI,48.36,0.98,55.41,0.88
2040,SC,56.91,1.41,91.25,1.61
2040,SCEG,56.82,1.34,100.66,1.74
2040,SCL,13.97,0.86,16.92,0.82
2040,SEC,3.62,1.65,5.06,1.51
2040,SOCO,492.97,1.46,933.22,1.98
2040,SPA,1.17,1.35,1.77,1.51
2040,SRP,79.49,1.39,177.08,1.92
2040,SWPP,658.43,1.62,1469.43,2.59
2040,TAL,8.87,1.88,15.06,2.15
2040,TEC,55.88,1.55,77.31,1.44
2040,TEPC,44.21,1.65,101.89,2.45
2040,TIDC,4.99,1.08,10.25,1.45
2040,TPWR,8.71,1.07,10.04,0.95
2040,TVA,372.77,1.48,697.77,2.01
2040,WACM,56.14,1.24,121.09,2.19
2040,WALC,11.85,0.79,14.35,0.67
2040,WAUW,2.43,2.09,6.16,4.09
2045,AEC,12.61,1.7,26.73,2.5
2045,AECI,100.18,3.09,226.58,4.77
2045,AVA,20.14,0.93,32.63,1.14
2045,AZPS,78.71,1.22,170.33,1.67
2045,BANC,41.95,1.3,78.77,1.57
2045,BPAT,66.31,0.69,116.87,0.99
2045,CHPD,4.04,1.26,6.57,1.37
2045,CISO,350.51,0.84,571.36,0.98
2045,CPLE,164.59,1.81,317.32,2.42
2045,DOPD,3.75,1.31,6.14,1.54
2045,DUK,254.0,1.57,512.11,2.28
2045,EPE,19.84,1.33,48.0,2.22
2045,ERCO,854.26,1.49,1789.71,2.22
2045,FMPP,43.77,1.34,75.79,1.57
2045,FPC,150.82,1.51,315.59,2.07
2045,FPL,295.15,1.31,510.49,1.53
2045,GCPD,6.02,0.65,9.55,0.83
2045,GVL,6.94,1.84,15.79,2.82
2045,HST,1.91,2.02,2.01,1.38
2045,IID,10.14,1.43,18.99,1.52
2045,IPCO,40.3,1.28,99.7,2.18
2045,ISNE,399.82,1.68,719.98,2.26
2045,JEA,38.93,1.6,79.61,2.29
2045,LDWP,62.8,1.16,144.38,1.88
2045,LGEE,84.63,1.83,140.7,2.19
2045,MISO,1194.49,1.1,2263.37,1.6
2045,NEVP,95.56,1.2,238.47,2.0
2045,NSB,1.7,2.29,2.93,2.39
2045,NWMT,14.45,1.0,19.72,1.1
2045,NYIS,429.61,1.55,858.78,2.28
2045,PACE,85.29,0.94,226.22,1.98
2045,PACW,26.59,0.76,41.71,0.95
2045,PGE,26.94,0.8,50.58,1.18
2045,PJM,1914.84,1.43,3495.47,1.86
2045,PNM,32.89,1.24,67.7,1.89
2045,PSCO,118.28,1.44,317.52,2.9
2045,PSEI,31.42,0.59,46.7,0.69
2045,SC,71.67,1.66,138.65,2.3
2045,SCEG,67.8,1.51,137.66,2.24
2045,SCL,9.92,0.57,14.3,0.65
2045,SEC,3.59,1.51,4.77,1.33
2045,SOCO,523.83,1.46,1175.1,2.44
2045,SPA,1.32,1.42,2.23,1.8
2045,SRP,76.41,1.24,160.54,1.62
2045,SWPP,875.65,1.97,2246.93,3.79
2045,TAL,9.0,1.77,16.6,2.23
2045,TEC,63.08,1.61,103.49,1.78
2045,TEPC,43.42,1.47,94.73,2.12
2045,TIDC,5.32,1.08,10.1,1.31
2045,TPWR,6.0,0.69,9.42,0.83
2045,TVA,402.95,1.51,899.87,2.5
2045,WACM,60.58,1.24,135.75,2.26
2045,WALC,13.17,0.81,15.96,0.7
2045,WAUW,2.09,1.76,4.04,2.51
2050,AEC,14.94,1.77,30.05,2.4
2050,AECI,98.9,2.84,220.75,4.29
2050,AVA,16.09,0.72,24.76,0.86
2050,AZPS,98.69,1.42,180.06,1.62
2050,BANC,42.17,1.21,78.54,1.48
2050,BPAT,53.58,0.53,95.63,0.79
2050,CHPD,3.34,0.97,5.98,1.23
2050,CISO,445.35,0.97,800.82,1.26
2050,CPLE,165.99,1.65,348.28,2.41
2050,DOPD,3.42,1.13,5.14,1.29
2050,DUK,273.41,1.51,682.35,2.74
2050,EPE,25.79,1.66,51.08,2.21
2050,ERCO,879.2,1.44,1798.76,2.08
2050,FMPP,45.06,1.23,71.48,1.32
2050,FPC,157.14,1.4,249.39,1.45
2050,FPL,289.32,1.15,510.79,1.37
2050,GCPD,5.36,0.56,8.38,0.69
2050,GVL,8.14,1.89,17.33,2.73
2050,HST,1.79,1.65,2.51,1.56
2050,IID,13.83,1.77,24.73,1.85
2050,IPCO,37.82,1.14,90.45,1.91
2050,ISNE,440.92,1.74,753.97,2.17
2050,JEA,43.04,1.56,79.37,2.0
2050,LDWP,79.03,1.33,192.09,2.3
2050,LGEE,85.45,1.66,195.19,2.75
2050,MISO,1191.41,1.04,1920.97,1.25
2050,NEVP,103.22,1.19,217.46,1.65
2050,NSB,1.83,2.14,2.85,2.07
2050,NWMT,12.34,0.81,15.93,0.86
2050,NYIS,475.41,1.58,1006.62,2.46
2050,PACE,90.02,0.94,229.89,1.92
2050,PACW,21.88,0.59,33.98,0.74
2050,PGE,22.36,0.63,45.08,1.0
2050,PJM,1899.41,1.32,3477.95,1.7
2050,PNM,41.98,1.5,59.48,1.53
2050,PSCO,130.3,1.48,304.37,2.59
2050,PSEI,26.18,0.46,49.05,0.7
2050,SC,72.34,1.5,172.67,2.61
2050,SCEG,72.65,1.46,178.4,2.65
2050,SCL,8.89,0.48,14.74,0.65
2050,SEC,3.85,1.4,5.64,1.37
2050,SOCO,585.68,1.44,1484.34,2.67
2050,SPA,1.26,1.24,1.85,1.34
2050,SRP,95.52,1.44,174.53,1.61
2050,SWPP,803.69,1.72,2021.28,3.23
2050,TAL,10.83,1.83,23.24,2.74
2050,TEC,62.72,1.43,88.07,1.35
2050,TEPC,53.49,1.69,102.66,2.12
2050,TIDC,5.79,1.08,10.04,1.22
2050,TPWR,4.98,0.53,9.8,0.84
2050,TVA,531.71,1.74,1493.97,3.64
2050,WACM,66.02,1.27,113.59,1.78
2050,WALC,15.03,0.84,16.84,0.67
2050,WAUW,1.85,1.48,3.68,2.24
2055,AEC,14.5,1.69,25.98,2.04
2055,AECI,60.49,1.82,77.35,1.55
2055,AVA,25.35,1.06,34.72,1.1
2055,AZPS,123.1,1.66,202.58,1.73
2055,BANC,61.91,1.6,103.39,1.73
2055,BPAT,100.54,0.94,153.68,1.18
2055,CHPD,5.5,1.54,9.31,1.79
2055,CISO,556.26,1.09,961.69,1.34
2055,CPLE,168.3,1.64,296.12,1.99
2055,DOPD,4.47,1.4,6.49,1.49
2055,DUK,264.72,1.43,578.81,2.26
2055,EPE,27.78,1.68,43.51,1.73
2055,ERCO,783.41,1.27,1193.26,1.34
2055,FMPP,65.76,1.71,124.2,2.29
2055,FPC,235.34,2.01,461.76,2.7
2055,FPL,456.0,1.71,798.76,2.13
2055,GCPD,7.44,0.74,8.65,0.65
2055,GVL,9.51,2.22,17.93,2.88
2055,HST,2.46,2.14,2.77,1.69
2055,IID,14.96,1.75,22.96,1.52
2055,IPCO,41.89,1.2,78.66,1.53
2055,ISNE,482.99,1.73,789.88,2.11
2055,JEA,56.19,2.06,89.51,2.29
2055,LDWP,101.62,1.52,214.63,2.24
2055,LGEE,78.74,1.55,131.33,1.85
2055,MISO,1097.31,0.93,1254.33,0.78
2055,NEVP,119.61,1.31,196.41,1.41
2055,NSB,2.25,2.57,3.97,2.87
2055,NWMT,12.6,0.77,15.02,0.74
2055,NYIS,473.89,1.46,1183.7,2.81
2055,PACE,102.23,1.04,186.04,1.48
2055,PACW,39.16,1.01,42.77,0.86
2055,PGE,38.48,1.03,52.48,1.08
2055,PJM,1698.48,1.11,3693.84,1.78
2055,PNM,42.86,1.42,45.28,1.08
2055,PSCO,123.94,1.36,194.8,1.57
2055,PSEI,53.88,0.92,70.89,0.95
2055,SC,66.85,1.38,125.33,1.83
2055,SCEG,66.56,1.33,129.22,1.86
2055,SCL,14.55,0.74,21.17,0.87
2055,SEC,4.7,1.66,7.1,1.72
2055,SOCO,584.95,1.41,1316.9,2.33
2055,SPA,1.05,1.01,1.26,0.88
2055,SRP,121.69,1.73,197.76,1.74
2055,SWPP,492.92,1.1,609.16,0.96
2055,TAL,12.91,2.16,27.64,3.25
2055,TEC,94.13,2.05,148.42,2.29
2055,TEPC,50.53,1.55,87.45,1.73
2055,TIDC,7.5,1.28,11.96,1.32
2055,TPWR,9.15,0.94,13.74,1.1
2055,TVA,348.27,1.17,600.74,1.46
2055,WACM,69.81,1.27,67.83,1.0
2055,WALC,18.37,0.98,20.0,0.75
2055,WAUW,1.78,1.34,3.38,1.88
2060,AEC,27.14,2.86,56.44,3.85
2060,AECI,131.78,3.28,220.59,3.4
2060,AVA,45.35,1.82,46.07,1.38
2060,AZPS,212.52,2.57,402.48,3.0
2060,BANC,94.82,2.3,164.5,2.49
2060,BPAT,193.81,1.73,233.25,1.67
2060,CHPD,9.24,2.5,9.92,1.68
2060,CISO,945.15,1.71,1811.88,2.27
2060,CPLE,277.21,2.51,500.46,2.96
2060,DOPD,8.03,2.4,7.88,1.69
2060,DUK,429.27,2.13,938.84,3.21
2060,EPE,44.11,2.35,86.84,3.02
2060,ERCO,1522.41,2.18,2424.81,2.3
2060,FMPP,82.83,1.98,144.28,2.34
2060,FPC,295.8,2.3,567.12,2.88
2060,FPL,574.95,1.96,1023.44,2.41
2060,GCPD,13.48,1.24,22.93,1.69
2060,GVL,12.44,2.63,25.53,3.55
2060,HST,3.29,2.62,4.35,2.36
2060,IID,23.1,2.45,39.02,2.27
2060,IPCO,77.73,2.06,184.69,3.35
2060,ISNE,925.95,2.98,1740.47,4.09
2060,JEA,66.42,2.23,107.97,2.43
2060,LDWP,157.06,2.2,343.28,3.23
2060,LGEE,143.01,2.5,305.19,3.72
2060,MISO,2077.68,1.53,3558.16,1.94
2060,NEVP,231.07,2.29,458.64,2.9
2060,NSB,2.94,3.06,4.61,2.93
2060,NWMT,25.22,1.46,38.7,1.81
2060,NYIS,962.14,2.59,2608.45,5.28
2060,PACE,198.56,1.86,459.75,3.36
2060,PACW,77.37,1.85,117.8,2.2
2060,PGE,86.53,2.15,154.63,2.97
2060,PJM,3495.49,2.0,8408.22,3.45
2060,PNM,72.93,2.2,104.74,2.18
