Name,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
AEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,6.89,2045.0,5.65
AECI,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,5.17,2045.0,5.82
AVA,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.5,2055.0,5.82
AZPS,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.14,2045.0,5.57
BANC,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,5.53,2040.0,5.12
BPAT,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.12,2055.0,5.16
CHPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,6.02,,
CISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,5.5,2045.0,5.6
CPLE,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.94,2050.0,5.3
DOPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.12,2080.0,6.8
DUK,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.92,2050.0,5.85
EPE,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.36,2045.0,6.01
ERCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.2,2045.0,5.69
FMPP,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.26,2045.0,5.57
FPC,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.35,2045.0,5.65
FPL,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.42,2045.0,5.76
GCPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,6.05,2055.0,6.36
GVL,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.39,2040.0,5.58
HST,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.75,2045.0,5.7
IID,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.4,2045.0,5.29
IPCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,5.14,2045.0,5.53
ISNE,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.79,2050.0,5.09
JEA,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.06,2045.0,6.01
LDWP,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.01,2045.0,5.61
LGEE,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,6.18,2045.0,5.54
MISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.55,2045.0,5.05
NEVP,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.92,2050.0,5.38
NSB,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.49,2040.0,5.29
NWMT,rcp85hotter_ssp3,rcp45hotter_ssp3,2040.0,5.28,2040.0,5.84
NYIS,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.44,2045.0,5.43
PACE,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,5.89,2045.0,5.13
PACW,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.29,2050.0,5.22
PGE,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.99,2045.0,5.02
PJM,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,6.23,2050.0,5.17
PNM,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,6.1,2040.0,5.03
PSCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.31,2040.0,5.7
PSEI,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,6.09,,
SC,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.18,2050.0,5.92
SCEG,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.41,2050.0,6.05
SCL,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.84,,
SEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,5.02,2055.0,7.3
SOCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.68,2045.0,5.04
SPA,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.67,2055.0,5.9
SRP,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.08,2045.0,5.38
SWPP,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,6.07,2040.0,5.01
TAL,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.31,2045.0,6.49
TEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.36,2045.0,5.39
TEPC,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.21,2040.0,5.07
TIDC,rcp85hotter_ssp3,rcp45hotter_ssp3,2050.0,5.41,2045.0,5.69
TPWR,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.69,,
TVA,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.33,2045.0,5.07
WACM,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,5.16,2040.0,5.22
WALC,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.65,2050.0,5.61
WAUW,rcp85hotter_ssp3,rcp45hotter_ssp3,2040.0,5.23,2035.0,5.82
AEC,rcp85cooler_ssp5,rcp45cooler_ssp5,2070.0,5.25,2070.0,7.49
AECI,rcp85cooler_ssp5,rcp45cooler_ssp5,2080.0,7.97,2070.0,7.15
