Name,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
AEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,2.69,2035.0,3.69
AECI,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,2.77,2035.0,3.76
AVA,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,2.7,2040.0,2.59
AZPS,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.13,2025.0,2.54
BANC,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.02,2025.0,2.84
BPAT,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,2.54,2045.0,2.79
CHPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,2.5,2050.0,2.94
CISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,2.99,2030.0,3.45
CPLE,rcp85hotter_ssp3,rcp45hotter_ssp3,2040.0,3.06,2035.0,2.86
DOPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,2.54,2050.0,3.75
DUK,rcp85hotter_ssp3,rcp45hotter_ssp3,2040.0,3.13,2035.0,3.18
EPE,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,2.97,2030.0,3.4
ERCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,2.75,2030.0,2.75
FMPP,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.16,2030.0,3.3
FPC,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.4,2025.0,2.67
FPL,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.15,2030.0,3.08
GCPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,2.52,2035.0,3.27
GVL,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,2.6,2025.0,3.21
HST,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.04,2030.0,2.84
IID,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.45,2030.0,3.57
IPCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,2.51,2030.0,3.02
ISNE,rcp85hotter_ssp3,rcp45hotter_ssp3,2045.0,2.63,2035.0,2.88
JEA,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.24,2025.0,2.68
LDWP,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,3.18,2030.0,3.66
LGEE,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,2.72,2030.0,2.91
MISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,2.66,2035.0,3.37
NEVP,rcp85hotter_ssp3,rcp45hotter_ssp3,2040.0,3.7,2030.0,2.5
NSB,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,2.77,2020.0,2.63
