Name,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
AEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,8.59,2055.0,8.31
AECI,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,8.27,2055.0,9.89
AVA,rcp85hotter_ssp3,rcp45hotter_ssp3,2080.0,7.51,2080.0,8.95
AZPS,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,7.66,2055.0,8.1
BANC,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,13.72,2055.0,7.72
BPAT,rcp85hotter_ssp3,rcp45hotter_ssp3,,,2090.0,8.44
CHPD,rcp85hotter_ssp3,rcp45hotter_ssp3,,,,
CISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,12.88,2060.0,9.1
CPLE,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,10.76,2065.0,8.08
DOPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2090.0,8.01,2090.0,9.34
DUK,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,10.64,2060.0,7.98
EPE,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,7.74,2050.0,8.01
ERCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,7.59,2055.0,9.07
FMPP,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,7.55,2060.0,9.73
FPC,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,7.84,2055.0,8.12
FPL,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,7.75,2055.0,7.59
GCPD,rcp85hotter_ssp3,rcp45hotter_ssp3,,,2060.0,7.98
GVL,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,8.35,2055.0,9.04
HST,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,8.06,2060.0,8.86
IID,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,8.19,2060.0,7.98
IPCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,8.33,2055.0,9.01
ISNE,rcp85hotter_ssp3,rcp45hotter_ssp3,,,2060.0,7.82
JEA,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,7.64,2055.0,8.29
LDWP,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,7.82,2060.0,9.47
LGEE,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,7.55,2060.0,8.24
MISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,7.96,2060.0,8.9
NEVP,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,8.26,2060.0,9.13
NSB,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,8.21,2055.0,8.07
NWMT,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,7.92,2055.0,9.28
NYIS,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,9.54,2060.0,8.74
PACE,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,8.8,2055.0,8.48
PACW,rcp85hotter_ssp3,rcp45hotter_ssp3,,,2060.0,7.9
