Name,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
Alabama,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,12.13,2035.0,12.13
Arizona,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.49,2035.0,10.7
Arkansas,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,12.54,2035.0,12.61
California,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,10.51,2040.0,10.33
Colorado,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,13.74,2040.0,14.31
Connecticut,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.47,2040.0,14.59
Delaware,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.0,2035.0,10.02
District of Columbia,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,12.28,2040.0,12.34
Florida,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,12.98,2040.0,12.81
Georgia,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.54,2035.0,10.46
Idaho,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,15.16,2035.0,11.04
Illinois,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,12.16,2040.0,12.6
Indiana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.13,2035.0,10.02
Iowa,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.4,2035.0,10.2
Kansas,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.24,2035.0,10.03
Kentucky,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.54,2035.0,11.84
Louisiana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.07,2040.0,15.53
Maine,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,13.43,2035.0,13.56
Maryland,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,13.26,2040.0,13.32
Massachusetts,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,13.46,2040.0,13.59
Michigan,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.49,2040.0,14.43
Minnesota,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.07,2040.0,13.75
Mississippi,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,12.54,2035.0,12.42
Missouri,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.2,2035.0,10.02
Montana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.37,2035.0,11.92
Nebraska,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.4,2035.0,10.43
Nevada,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.14,2035.0,10.28
New Hampshire,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.66,2035.0,11.79
New Jersey,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,12.27,2040.0,12.33
New Mexico,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,15.89,2040.0,15.84
New York,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,12.69,2040.0,13.08
North Carolina,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.13,2035.0,11.28
North Dakota,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.78,2035.0,10.75
Ohio,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.73,2040.0,14.79
Oklahoma,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.8,2035.0,10.76
Oregon,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,12.73,2040.0,12.73
Pennsylvania,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,15.21,2040.0,15.28
Rhode Island,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.1,2040.0,14.22
South Carolina,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.11,2035.0,11.14
South Dakota,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.86,2035.0,11.66
Tennessee,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.61,2035.0,10.97
Texas,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.62,2040.0,14.36
Utah,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,12.37,2040.0,11.85
Vermont,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,13.55,2035.0,13.68
Virginia,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.79,2035.0,10.93
Washington,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,11.7,2040.0,11.62
West Virginia,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.81,2035.0,11.83
Wisconsin,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,14.07,2040.0,14.05
Wyoming,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.8,2035.0,12.06
Alabama,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Arizona,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Arkansas,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
California,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Colorado,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Connecticut,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Delaware,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
District of Columbia,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Florida,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Georgia,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Idaho,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Illinois,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Indiana,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Iowa,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Kansas,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Kentucky,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Louisiana,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Maine,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Maryland,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Massachusetts,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Michigan,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Minnesota,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Mississippi,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Missouri,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Montana,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Nebraska,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Nevada,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
New Hampshire,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
New Jersey,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
New Mexico,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
New York,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
North Carolina,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
North Dakota,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Ohio,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Oklahoma,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Oregon,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Pennsylvania,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Rhode Island,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
South Carolina,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
South Dakota,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Tennessee,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Texas,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Utah,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Vermont,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Virginia,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Washington,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
West Virginia,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Wisconsin,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Wyoming,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,
Alabama,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,13.32,2070.0,15.56
Arizona,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,11.66,2070.0,13.23
Arkansas,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,11.26,2065.0,10.35
California,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,13.01,2070.0,14.91
Colorado,rcp85hotter_ssp3,rcp45hotter_ssp3,2080.0,11.35,2060.0,11.83
Connecticut,rcp85hotter_ssp3,rcp45hotter_ssp3,,,2085.0,12.31
Delaware,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,10.28,2070.0,12.26
