scenario,state,year,load_TWh,load_normalized
rcp85cooler_ssp3,CA,1990,234.888131191946,0.726
rcp85cooler_ssp3,CA,2005,284.081968691391,0.878
rcp85cooler_ssp3,CA,2010,285.707051833058,0.883
rcp85cooler_ssp3,CA,2015,285.662068267502,0.883
rcp85cooler_ssp3,CA,2020,323.482991929108,1.0
rcp85cooler_ssp3,CA,2025,343.386116088114,1.062
rcp85cooler_ssp3,CA,2030,359.882174869947,1.113
rcp85cooler_ssp3,CA,2035,364.591831147217,1.127
rcp85cooler_ssp3,CA,2040,380.69134881097,1.177
rcp85cooler_ssp3,CA,2045,389.523230593093,1.204
rcp85cooler_ssp3,CA,2050,410.940079139664,1.27
rcp85cooler_ssp3,CA,2055,433.46809892294,1.34
rcp85cooler_ssp3,CA,2060,461.479813498526,1.427
rcp85cooler_ssp3,CA,2065,501.448658805535,1.55
rcp85cooler_ssp3,CA,2070,521.334360438371,1.612
rcp85cooler_ssp3,CA,2075,513.207796183389,1.587
rcp85cooler_ssp3,CA,2080,513.118110227085,1.586
rcp85cooler_ssp3,CA,2085,504.541214731965,1.56
rcp85cooler_ssp3,CA,2090,501.20270024465,1.549
rcp85cooler_ssp3,CA,2095,501.157495614908,1.549
rcp85cooler_ssp3,CA,2100,496.830283822851,1.536
rcp85cooler_ssp3,CO,1975,5.00399691666671,0.08
rcp85cooler_ssp3,CO,1990,34.3479379716669,0.546
rcp85cooler_ssp3,CO,2005,53.8432610408616,0.856
rcp85cooler_ssp3,CO,2010,58.1703797402783,0.925
rcp85cooler_ssp3,CO,2015,58.6969656286116,0.933
rcp85cooler_ssp3,CO,2020,62.9118894752672,1.0
rcp85cooler_ssp3,CO,2025,67.6554301772394,1.075
rcp85cooler_ssp3,CO,2030,70.9627280181909,1.128
rcp85cooler_ssp3,CO,2035,72.7451841671417,1.156
rcp85cooler_ssp3,CO,2040,76.5449690745759,1.217
rcp85cooler_ssp3,CO,2045,78.3154904563329,1.245
rcp85cooler_ssp3,CO,2050,81.9124945296932,1.302
rcp85cooler_ssp3,CO,2055,85.348839428189,1.357
rcp85cooler_ssp3,CO,2060,93.6595690740321,1.489
rcp85cooler_ssp3,CO,2065,102.750272575461,1.633
rcp85cooler_ssp3,CO,2070,107.221176015772,1.704
rcp85cooler_ssp3,CO,2075,108.99067018737,1.732
rcp85cooler_ssp3,CO,2080,111.047900017097,1.765
rcp85cooler_ssp3,CO,2085,109.239363145449,1.736
rcp85cooler_ssp3,CO,2090,109.320896092057,1.738
rcp85cooler_ssp3,CO,2095,106.745495473234,1.697
rcp85cooler_ssp3,CO,2100,110.079929468303,1.75
rcp85cooler_ssp3,CT,1975,5.5447858055556,0.175
rcp85cooler_ssp3,CT,1990,30.1614762633336,0.953
rcp85cooler_ssp3,CT,2005,36.9148393036114,1.166
rcp85cooler_ssp3,CT,2010,33.6074745391669,1.062
rcp85cooler_ssp3,CT,2015,32.3900857788891,1.023
rcp85cooler_ssp3,CT,2020,31.65454266731,1.0
rcp85cooler_ssp3,CT,2025,30.8322073813575,0.974
rcp85cooler_ssp3,CT,2030,31.5871860443183,0.998
rcp85cooler_ssp3,CT,2035,32.6364358495567,1.031
rcp85cooler_ssp3,CT,2040,33.6527081299644,1.063
rcp85cooler_ssp3,CT,2045,35.9518885436436,1.136
rcp85cooler_ssp3,CT,2050,37.1799898430992,1.175
rcp85cooler_ssp3,CT,2055,39.3712997203698,1.244
rcp85cooler_ssp3,CT,2060,42.0424869888234,1.328
rcp85cooler_ssp3,CT,2065,43.4279823259478,1.372
rcp85cooler_ssp3,CT,2070,44.5144185221831,1.406
rcp85cooler_ssp3,CT,2075,46.2294207885595,1.46
rcp85cooler_ssp3,CT,2080,46.2759403159276,1.462
rcp85cooler_ssp3,CT,2085,47.1807489656479,1.49
rcp85cooler_ssp3,CT,2090,46.4511516058459,1.467
rcp85cooler_ssp3,CT,2095,46.1465971834956,1.458
rcp85cooler_ssp3,CT,2100,45.9068923935773,1.45
rcp85cooler_ssp3,DC,1975,2.73394680555558,0.198
rcp85cooler_ssp3,DC,1990,10.855440955239,0.785
rcp85cooler_ssp3,DC,2005,13.1890323237223,0.953
rcp85cooler_ssp3,DC,2010,13.1144879814723,0.948
rcp85cooler_ssp3,DC,2015,12.5029796018057,0.904
rcp85cooler_ssp3,DC,2020,13.8372062928271,1.0
rcp85cooler_ssp3,DC,2025,13.9800436717879,1.01
rcp85cooler_ssp3,DC,2030,13.7430687805201,0.993
rcp85cooler_ssp3,DC,2035,13.9301708947637,1.007
rcp85cooler_ssp3,DC,2040,13.5342105542248,0.978
rcp85cooler_ssp3,DC,2045,13.8868193752318,1.004
rcp85cooler_ssp3,DC,2050,14.4389372478362,1.043
rcp85cooler_ssp3,DC,2055,13.9304104625884,1.007
rcp85cooler_ssp3,DC,2060,14.7430848849304,1.065
rcp85cooler_ssp3,DC,2065,14.4743368812285,1.046
rcp85cooler_ssp3,DC,2070,14.1644987315487,1.024
rcp85cooler_ssp3,DC,2075,14.5423676340198,1.051
rcp85cooler_ssp3,DC,2080,13.9833694277971,1.011
rcp85cooler_ssp3,DC,2085,14.1460420990843,1.022
rcp85cooler_ssp3,DC,2090,14.637406161771,1.058
rcp85cooler_ssp3,DC,2095,13.9918466175962,1.011
rcp85cooler_ssp3,DC,2100,14.4361727807618,1.043
rcp85cooler_ssp3,DE,1975,2.31968144444446,0.18
rcp85cooler_ssp3,DE,1990,9.14269908969452,0.708
rcp85cooler_ssp3,DE,2005,13.4062982101112,1.039
rcp85cooler_ssp3,DE,2010,12.7512546151945,0.988
rcp85cooler_ssp3,DE,2015,12.5176831480001,0.97
rcp85cooler_ssp3,DE,2020,12.9066532107015,1.0
rcp85cooler_ssp3,DE,2025,12.8787426693504,0.998
rcp85cooler_ssp3,DE,2030,12.8561894488268,0.996
rcp85cooler_ssp3,DE,2035,13.2318239754923,1.025
rcp85cooler_ssp3,DE,2040,13.1071357892907,1.016
rcp85cooler_ssp3,DE,2045,13.3978185361054,1.038
rcp85cooler_ssp3,DE,2050,13.7215653478909,1.063
rcp85cooler_ssp3,DE,2055,13.4016261993865,1.038
rcp85cooler_ssp3,DE,2060,14.0949569347082,1.092
rcp85cooler_ssp3,DE,2065,14.023135215544,1.087
rcp85cooler_ssp3,DE,2070,13.8904701567557,1.076
rcp85cooler_ssp3,DE,2075,14.1481623318865,1.096
rcp85cooler_ssp3,DE,2080,13.7208520792173,1.063
rcp85cooler_ssp3,DE,2085,13.8904446546243,1.076
rcp85cooler_ssp3,DE,2090,14.1101222894376,1.093
rcp85cooler_ssp3,DE,2095,13.6789191147337,1.06
rcp85cooler_ssp3,DE,2100,13.9665189624659,1.082
rcp85cooler_ssp3,FL,1975,15.1960556111112,0.052
rcp85cooler_ssp3,FL,1990,159.87559776639,0.551
rcp85cooler_ssp3,FL,2005,252.74129041278,0.871
rcp85cooler_ssp3,FL,2010,256.766659353335,0.885
rcp85cooler_ssp3,FL,2015,259.830450676669,0.896
rcp85cooler_ssp3,FL,2020,290.10176588153,1.0
rcp85cooler_ssp3,FL,2025,305.420637682475,1.053
rcp85cooler_ssp3,FL,2030,307.648273234094,1.06
rcp85cooler_ssp3,FL,2035,315.589081170308,1.088
rcp85cooler_ssp3,FL,2040,320.096259379616,1.103
rcp85cooler_ssp3,FL,2045,322.268523316505,1.111
rcp85cooler_ssp3,FL,2050,343.572086791458,1.184
rcp85cooler_ssp3,FL,2055,333.997896665392,1.151
rcp85cooler_ssp3,FL,2060,346.516142198881,1.194
rcp85cooler_ssp3,FL,2065,354.18191468738,1.221
rcp85cooler_ssp3,FL,2070,353.475550621486,1.218
rcp85cooler_ssp3,FL,2075,353.356349670934,1.218
rcp85cooler_ssp3,FL,2080,347.391235203964,1.197
rcp85cooler_ssp3,FL,2085,343.031882995894,1.182
rcp85cooler_ssp3,FL,2090,351.69317520772,1.212
rcp85cooler_ssp3,FL,2095,341.915200752839,1.179
rcp85cooler_ssp3,FL,2100,337.296679320575,1.163
rcp85cooler_ssp3,GA,1975,15.3370767777779,0.1
rcp85cooler_ssp3,GA,1990,89.2066790197507,0.582
rcp85cooler_ssp3,GA,2005,146.598406602446,0.956
rcp85cooler_ssp3,GA,2010,154.844842751585,1.009
rcp85cooler_ssp3,GA,2015,147.644996875196,0.962
rcp85cooler_ssp3,GA,2020,153.401691760673,1.0
rcp85cooler_ssp3,GA,2025,153.289733350387,0.999
rcp85cooler_ssp3,GA,2030,157.191840644148,1.025
rcp85cooler_ssp3,GA,2035,156.981871953599,1.023
rcp85cooler_ssp3,GA,2040,157.846441776955,1.029
rcp85cooler_ssp3,GA,2045,154.336588565033,1.006
rcp85cooler_ssp3,GA,2050,162.305113184202,1.058
rcp85cooler_ssp3,GA,2055,155.345049881024,1.013
rcp85cooler_ssp3,GA,2060,161.973094594142,1.056
rcp85cooler_ssp3,GA,2065,161.664996076603,1.054
rcp85cooler_ssp3,GA,2070,162.953586827463,1.062
rcp85cooler_ssp3,GA,2075,162.454245830188,1.059
rcp85cooler_ssp3,GA,2080,161.80261354155,1.055
rcp85cooler_ssp3,GA,2085,156.657149633811,1.021
rcp85cooler_ssp3,GA,2090,162.738711819621,1.061
rcp85cooler_ssp3,GA,2095,153.09586592548,0.998
rcp85cooler_ssp3,GA,2100,152.686306504393,0.995
rcp85cooler_ssp3,HI,1975,2.73166758333336,0.242
rcp85cooler_ssp3,HI,1990,9.16554210916674,0.812
rcp85cooler_ssp3,HI,2005,11.5605156536112,1.024
rcp85cooler_ssp3,HI,2010,10.924982151389,0.968
rcp85cooler_ssp3,HI,2015,10.1946287026112,0.903
rcp85cooler_ssp3,HI,2020,11.2864882192315,1.0
rcp85cooler_ssp3,HI,2025,12.0054476632368,1.064
rcp85cooler_ssp3,HI,2030,12.5799596784065,1.115
rcp85cooler_ssp3,HI,2035,13.0768869063451,1.159
rcp85cooler_ssp3,HI,2040,13.5822545478448,1.203
rcp85cooler_ssp3,HI,2045,13.8890262013515,1.231
rcp85cooler_ssp3,HI,2050,14.0033353311448,1.241
rcp85cooler_ssp3,HI,2055,14.2037662080176,1.258
rcp85cooler_ssp3,HI,2060,14.5488740436457,1.289
rcp85cooler_ssp3,HI,2065,14.8158409963515,1.313
rcp85cooler_ssp3,HI,2070,14.9000717797954,1.32
rcp85cooler_ssp3,HI,2075,14.7604493060257,1.308
rcp85cooler_ssp3,HI,2080,14.5260721160865,1.287
rcp85cooler_ssp3,HI,2085,14.2282328305743,1.261
rcp85cooler_ssp3,HI,2090,13.9355960441384,1.235
rcp85cooler_ssp3,HI,2095,13.5848347933479,1.204
rcp85cooler_ssp3,HI,2100,13.1831066660968,1.168
rcp85cooler_ssp3,IA,1975,7.34277147222228,0.142
rcp85cooler_ssp3,IA,1990,32.6843071618614,0.632
rcp85cooler_ssp3,IA,2005,47.0088134936115,0.909
rcp85cooler_ssp3,IA,2010,49.6186620872226,0.959
rcp85cooler_ssp3,IA,2015,50.469467705556,0.976
rcp85cooler_ssp3,IA,2020,51.7320941436699,1.0
rcp85cooler_ssp3,IA,2025,51.7077897944865,1.0
rcp85cooler_ssp3,IA,2030,51.9369036540507,1.004
rcp85cooler_ssp3,IA,2035,52.0825667559204,1.007
rcp85cooler_ssp3,IA,2040,53.3092667145924,1.03
rcp85cooler_ssp3,IA,2045,52.9127564356279,1.023
rcp85cooler_ssp3,IA,2050,53.6866732329413,1.038
rcp85cooler_ssp3,IA,2055,55.7950137119316,1.079
rcp85cooler_ssp3,IA,2060,61.3324681632341,1.186
rcp85cooler_ssp3,IA,2065,64.8385514479319,1.253
rcp85cooler_ssp3,IA,2070,65.57247310119,1.268
rcp85cooler_ssp3,IA,2075,66.4132701202286,1.284
rcp85cooler_ssp3,IA,2080,66.5849830058741,1.287
rcp85cooler_ssp3,IA,2085,65.666385022385,1.269
rcp85cooler_ssp3,IA,2090,63.7885817889222,1.233
rcp85cooler_ssp3,IA,2095,61.7488593069663,1.194
rcp85cooler_ssp3,IA,2100,61.7387437665555,1.193
rcp85cooler_ssp3,ID,1975,5.58827594444449,0.203
rcp85cooler_ssp3,ID,1990,19.9333436175307,0.726
rcp85cooler_ssp3,ID,2005,24.0144542543085,0.874
rcp85cooler_ssp3,ID,2010,24.8877374678835,0.906
rcp85cooler_ssp3,ID,2015,24.7495073761891,0.901
rcp85cooler_ssp3,ID,2020,27.4642413282202,1.0
rcp85cooler_ssp3,ID,2025,30.2928881821933,1.103
rcp85cooler_ssp3,ID,2030,31.2890273804841,1.139
rcp85cooler_ssp3,ID,2035,31.1361647272061,1.134
rcp85cooler_ssp3,ID,2040,32.0133229396247,1.166
rcp85cooler_ssp3,ID,2045,32.0602823411275,1.167
rcp85cooler_ssp3,ID,2050,32.390175174413,1.179
rcp85cooler_ssp3,ID,2055,33.1143461324561,1.206
rcp85cooler_ssp3,ID,2060,34.07018096327,1.241
rcp85cooler_ssp3,ID,2065,36.6318168751603,1.334
