Year,Name,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_MWh,Peak_Rel_Diff_%
2020,AEC,16.27,3.01,25.89,3.01
2020,AECI,67.24,2.76,99.78,2.54
2020,AVA,55.68,3.67,77.57,3.72
2020,AZPS,31.25,0.71,79.27,1.19
2020,BANC,71.18,3.39,110.03,3.22
2020,BPAT,285.29,4.09,379.42,4.15
2020,CHPD,8.36,3.54,15.16,3.79
2020,CISO,949.43,3.35,1363.02,3.3
2020,CPLE,44.04,0.65,59.45,0.56
2020,DOPD,5.81,2.73,10.75,3.41
2020,DUK,25.01,0.21,22.25,0.13
2020,EPE,21.19,2.26,34.31,2.2
2020,ERCO,484.99,1.26,736.95,1.23
2020,FMPP,32.43,1.38,51.07,1.45
2020,FPC,97.86,1.39,161.91,1.46
2020,FPL,206.95,1.28,340.58,1.41
2020,GCPD,22.74,3.44,28.35,3.46
2020,GVL,3.51,1.37,5.52,1.37
2020,HST,0.98,1.37,1.45,1.37
2020,IID,15.88,3.47,31.61,3.51
2020,IPCO,77.78,3.97,93.27,3.07
2020,ISNE,170.53,1.04,220.57,0.96
2020,JEA,23.4,1.39,35.91,1.42
2020,LDWP,121.57,3.43,189.43,3.43
2020,LGEE,61.11,1.71,86.88,1.67
2020,MISO,705.23,0.9,1074.59,1.02
2020,NEVP,155.72,3.34,216.59,2.7
2020,NSB,0.74,1.37,1.23,1.37
2020,NWMT,33.9,3.14,41.87,3.13
2020,NYIS,391.41,2.08,469.0,1.72
2020,PACE,269.22,4.33,370.02,4.5
2020,PACW,110.91,4.35,135.27,4.08
2020,PGE,128.9,5.14,170.27,5.11
2020,PJM,966.67,0.99,1473.48,1.02
2020,PNM,51.75,3.07,69.72,2.9
2020,PSCO,156.92,3.14,192.4,2.73
2020,PSEI,131.23,3.42,175.76,3.41
2020,SC,45.5,1.45,69.48,1.47
2020,SCEG,43.22,1.35,63.58,1.32
2020,SCL,43.43,3.43,57.64,3.43
2020,SEC,2.42,1.37,3.69,1.41
2020,SOCO,610.48,2.28,956.21,2.4
2020,SPA,1.95,2.64,2.66,2.62
2020,SRP,2.2,0.05,6.6,0.1
2020,SWPP,882.14,2.79,1288.15,2.68
2020,TAL,4.87,1.37,7.51,1.37
2020,TEC,38.81,1.38,61.32,1.45
2020,TEPC,5.84,0.31,12.56,0.43
2020,TIDC,10.85,3.35,16.58,3.15
2020,TPWR,21.46,3.42,29.53,3.4
2020,TVA,346.3,1.76,475.36,1.63
2020,WACM,108.37,3.41,132.4,3.31
2020,WALC,25.24,2.33,29.69,1.91
2020,WAUW,3.07,3.56,4.12,3.5
2025,AEC,16.84,3.03,25.89,2.97
2025,AECI,73.22,3.08,111.88,2.98
2025,AVA,74.06,4.4,101.99,4.41
2025,AZPS,61.38,1.34,149.15,2.15
2025,BANC,100.35,4.43,159.17,4.18
2025,BPAT,362.84,4.78,489.36,4.96
2025,CHPD,11.03,4.24,18.82,4.53
2025,CISO,1347.14,4.48,2024.3,4.6
2025,CPLE,52.92,0.74,80.9,0.76
2025,DOPD,7.05,3.04,11.54,3.38
2025,DUK,151.85,1.22,247.46,1.4
2025,EPE,27.75,2.88,42.07,2.72
2025,ERCO,577.28,1.45,839.05,1.39
2025,FMPP,33.03,1.33,51.13,1.4
2025,FPC,100.22,1.34,166.77,1.44
2025,FPL,206.71,1.21,333.88,1.34
2025,GCPD,30.12,4.15,38.3,4.19
2025,GVL,3.55,1.29,5.46,1.29
2025,HST,0.97,1.29,1.41,1.29
2025,IID,22.17,4.55,43.92,4.61
2025,IPCO,103.04,4.69,124.13,3.63
2025,ISNE,78.8,0.49,90.17,0.41
2025,JEA,23.43,1.3,34.91,1.29
2025,LDWP,168.25,4.49,261.36,4.49
2025,LGEE,54.4,1.54,72.0,1.42
2025,MISO,158.4,0.2,255.16,0.25
2025,NEVP,201.03,4.0,280.52,3.2
2025,NSB,0.74,1.29,1.21,1.29
2025,NWMT,48.78,4.3,60.57,4.29
2025,NYIS,439.63,2.35,513.73,1.96
2025,PACE,361.45,5.44,502.75,5.73
2025,PACW,133.08,4.89,164.37,4.7
2025,PGE,146.85,5.52,193.12,5.47
2025,PJM,250.92,0.26,358.72,0.26
2025,PNM,76.37,4.32,102.01,4.16
2025,PSCO,236.44,4.42,284.3,3.83
2025,PSEI,171.02,4.09,225.23,4.06
2025,SC,107.37,3.35,160.75,3.42
2025,SCEG,109.59,3.31,158.43,3.31
2025,SCL,56.44,4.11,73.4,4.11
2025,SEC,2.48,1.31,3.86,1.34
2025,SOCO,470.78,1.75,686.08,1.77
2025,SPA,2.08,2.85,2.83,2.81
2025,SRP,20.79,0.51,41.81,0.61
2025,SWPP,1020.61,3.24,1488.54,3.26
2025,TAL,4.89,1.29,7.44,1.29
2025,TEC,38.98,1.31,62.06,1.42
2025,TEPC,15.4,0.79,31.24,1.03
2025,TIDC,15.22,4.38,23.77,4.14
2025,TPWR,27.97,4.08,37.81,4.03
2025,TVA,278.85,1.41,356.58,1.23
2025,WACM,151.7,4.49,183.19,4.37
2025,WALC,33.62,2.89,42.87,2.57
2025,WAUW,4.26,4.69,5.82,4.63
2030,AEC,7.74,1.36,12.66,1.36
2030,AECI,18.78,0.76,40.69,1.08
2030,AVA,4.16,0.24,6.54,0.27
2030,AZPS,347.01,7.55,656.93,8.72
2030,BANC,16.43,0.63,37.71,0.93
2030,BPAT,30.9,0.38,58.84,0.56
2030,CHPD,1.1,0.44,0.92,0.22
2030,CISO,157.12,0.49,149.6,0.32
2030,CPLE,357.27,5.05,552.81,5.02
2030,DOPD,5.8,2.51,7.12,2.16
2030,DUK,723.78,5.73,1113.14,5.94
2030,EPE,17.65,1.68,31.34,1.9
2030,ERCO,1273.08,3.05,2027.91,3.15
2030,FMPP,70.68,2.78,103.58,2.72
2030,FPC,213.52,2.81,322.64,2.67
2030,FPL,525.05,2.98,725.04,2.76
2030,GCPD,3.54,0.48,3.83,0.4
2030,GVL,7.91,2.81,12.45,2.81
2030,HST,2.24,2.81,3.22,2.81
2030,IID,2.1,0.43,3.46,0.34
2030,IPCO,23.68,0.96,49.37,1.32
2030,ISNE,625.91,3.66,898.51,3.77
2030,JEA,50.11,2.77,75.47,2.72
2030,LDWP,21.29,0.53,32.82,0.52
2030,LGEE,120.97,3.37,182.67,3.44
2030,MISO,3591.91,4.43,4792.44,4.32
2030,NEVP,69.63,1.15,130.23,1.42
2030,NSB,1.65,2.81,2.76,2.81
2030,NWMT,5.38,0.45,5.41,0.36
2030,NYIS,453.84,2.26,762.65,2.71
2030,PACE,62.27,0.87,106.33,1.13
2030,PACW,32.12,1.13,36.5,0.97
2030,PGE,38.36,1.4,49.76,1.31
2030,PJM,3909.91,3.96,5817.47,3.95
2030,PNM,10.68,0.55,19.75,0.74
2030,PSCO,45.73,0.74,120.17,1.47
2030,PSEI,23.9,0.55,33.09,0.57
2030,SC,263.32,7.94,406.29,8.0
2030,SCEG,272.54,7.88,411.31,7.91
2030,SCL,7.54,0.53,9.89,0.53
2030,SEC,5.3,2.82,7.97,2.8
2030,SOCO,693.09,2.52,1011.66,2.36
2030,SPA,0.64,0.88,0.9,0.89
2030,SRP,284.56,6.62,500.54,6.74
2030,SWPP,168.93,0.53,232.69,0.47
2030,TAL,10.88,2.81,17.01,2.81
