Name,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
AEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.55,2020.0,1.38
AECI,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.45,2025.0,1.41
AVA,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.56,2030.0,2.12
AZPS,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.32,2020.0,1.29
BANC,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.54,2020.0,1.89
BPAT,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.52,2030.0,1.91
CHPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.56,2040.0,1.48
CISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.43,2020.0,1.66
CPLE,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.29,2025.0,2.28
DOPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.78,2030.0,1.78
DUK,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.78,2025.0,2.27
EPE,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.51,2020.0,1.67
ERCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.46,2020.0,1.42
FMPP,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.62,2020.0,1.64
FPC,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.69,2020.0,1.6
FPL,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.48,2020.0,1.49
GCPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.61,2025.0,1.82
GVL,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.97,2020.0,2.04
HST,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.67,2020.0,1.47
IID,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.46,2020.0,1.85
IPCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.82,2025.0,2.18
ISNE,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.26,2020.0,1.41
JEA,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.75,2020.0,1.73
LDWP,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.46,2020.0,1.85
LGEE,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.8,2025.0,1.72
MISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.49,2025.0,1.68
NEVP,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.72,2025.0,1.79
NSB,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,2.42,2020.0,2.63
NWMT,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.35,2025.0,2.52
NYIS,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.27,2020.0,1.52
PACE,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.29,2020.0,1.28
PACW,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.73,2025.0,1.63
PGE,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.77,2025.0,1.78
PJM,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.7,2025.0,1.93
PNM,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.49,2020.0,1.29
PSCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.57,2020.0,1.51
PSEI,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.48,2030.0,1.76
SC,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.25,2020.0,1.26
